PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.126,01 24 2022 14 30 00,vegeta,String,https,String,1439890.7332,Double,119.990894,Double,30000.5085,Double,50.3316,Double,49.80794717241023,String,0.9999166666666667,String,10.1.0.41,String
10.2.0.126,01 24 2022 14 35 00,vegeta,String,https,String,1901361.299745,Double,158.446774,Double,15260.354645,Double,50.326237,Double,49.67179351938898,String,1,String,10.1.0.41,String
10.2.0.127,01 24 2022 14 30 00,vegeta,String,https,String,1403621.313554,Double,116.968442,Double,19387.030804,Double,50.404,Double,49.14412335853165,String,1,String,10.1.0.125,String
10.2.0.127,01 24 2022 14 35 00,vegeta,String,https,String,2060550.4609,Double,171.712538,Double,30001.088052,Double,50.479429,Double,49.9729854263397,String,0.99975,String,10.1.0.125,String
10.2.0.128,01 24 2022 14 30 00,vegeta,String,https,String,1442451.313879,Double,120.204276,Double,20107.397718,Double,49.926213,Double,49.22323294964181,String,1,String,10.1.0.56,String
10.2.0.128,01 24 2022 14 35 00,vegeta,String,https,String,2206762.71814,Double,183.896893,Double,30000.374803,Double,50.076616,Double,49.65209904757205,String,0.9998333333333334,String,10.1.0.56,String
10.2.0.128,01 24 2022 14 40 00,vegeta,String,https,String,31724132.438418,Double,2643.677703,Double,30000.627731,Double,0.0511,Double,35.51956484101241,String,0.7103333333333334,String,10.1.0.56,String
10.2.0.129,01 24 2022 14 30 00,vegeta,String,https,String,1301728.1831,Double,108.477348,Double,10268.1294,Double,50.2462,Double,49.98821846424598,String,1,String,10.1.0.45,String
10.2.0.129,01 24 2022 14 35 00,vegeta,String,https,String,2175822.405541,Double,181.318533,Double,30000.215607,Double,50.164615,Double,49.47485209305895,String,0.9999166666666667,String,10.1.0.45,String
10.2.0.13,01 24 2022 14 30 00,vegeta,String,https,String,1323751.723539,Double,110.312643,Double,2479.635751,Double,49.830899,Double,49.98561227715639,String,1,String,10.1.0.30,String
10.2.0.13,01 24 2022 14 35 00,vegeta,String,https,String,1778200.147439,Double,148.183345,Double,21887.627523,Double,50.078795,Double,49.78224514134686,String,1,String,10.1.0.30,String
10.2.0.130,01 24 2022 14 30 00,vegeta,String,https,String,1318661.053154,Double,109.888421,Double,16191.701448,Double,50.2714,Double,49.58928102987804,String,1,String,10.1.0.42,String
10.2.0.130,01 24 2022 14 35 00,vegeta,String,https,String,2760321.785702,Double,230.026815,Double,30000.571025,Double,50.34805,Double,48.88362938367009,String,0.9999166666666667,String,10.1.0.42,String
10.2.0.131,01 24 2022 14 35 00,vegeta,String,https,String,1909666.421452,Double,159.138868,Double,15130.654923,Double,50.218228,Double,49.973479189325005,String,1,String,10.1.0.25,String
10.2.0.132,01 24 2022 14 30 00,vegeta,String,https,String,1345800.085436,Double,112.150007,Double,11306.483773,Double,49.918823,Double,49.231379716641634,String,1,String,10.1.0.118,String
10.2.0.132,01 24 2022 14 35 00,vegeta,String,https,String,2223218.213718,Double,185.268184,Double,16219.803936,Double,50.143483,Double,49.55300652548609,String,1,String,10.1.0.118,String
10.2.0.133,01 24 2022 14 35 00,vegeta,String,https,String,2533660.881648,Double,211.138406,Double,30002.027615,Double,50.254577,Double,49.45166873845963,String,0.9998333333333334,String,10.1.0.111,String
10.2.0.134,01 24 2022 14 30 00,vegeta,String,https,String,1351016.328066,Double,112.584694,Double,4797.9857,Double,50.2174,Double,49.430808612221064,String,1,String,10.1.0.5,String
10.2.0.134,01 24 2022 14 35 00,vegeta,String,https,String,1899798.930974,Double,158.316577,Double,30003.413858,Double,49.952967,Double,49.75199661402266,String,0.9999166666666667,String,10.1.0.5,String
10.2.0.135,01 24 2022 14 30 00,vegeta,String,https,String,1318690.658443,Double,109.890888,Double,8341.907918,Double,50.077531,Double,49.50860742954689,String,1,String,10.1.0.117,String
10.2.0.135,01 24 2022 14 35 00,vegeta,String,https,String,1931048.924137,Double,160.920743,Double,30000.249476,Double,49.862928,Double,48.96924670643575,String,0.9999166666666667,String,10.1.0.117,String
