PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.17,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1816882497,String,1811747691,String,85787,Int32,31935,Int32,55011,Int32,5,Int64
10.2.0.17,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1898171547,String,1893087344,String,523653,Int32,16774,Int32,100308,Int32,5,Int64
10.2.0.17,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1938525673,String,1934143437,String,110826,Int32,11593,Int32,64794,Int32,5,Int64
10.2.0.17,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,2027869112,String,2023743487,String,163699,Int32,65388,Int32,103883,Int32,5,Int64
10.2.0.17,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1947859836,String,1944352501,String,85465,Int32,14392,Int32,52474,Int32,5,Int64
10.2.0.17,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1874508081,String,1869809829,String,161940,Int32,26311,Int32,75257,Int32,5,Int64
10.2.0.18,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,4669734158,String,4662523251,String,3754246,Int32,7102,Int32,192331,Int32,5,Int64
10.2.0.18,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1954787454,String,1949953619,String,134885,Int32,26531,Int32,81770,Int32,5,Int64
10.2.0.18,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1681681931,String,1677545757,String,129308,Int32,26411,Int32,83743,Int32,5,Int64
10.2.0.18,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1761061376,String,1756831119,String,127498,Int32,46501,Int32,79990,Int32,5,Int64
10.2.0.18,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1754431130,String,1749904602,String,69523,Int32,17928,Int32,38242,Int32,5,Int64
10.2.0.18,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1800943518,String,1796678152,String,105775,Int32,15088,Int32,48229,Int32,5,Int64
10.2.0.18,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1615145108,String,1610502385,String,62892,Int32,18615,Int32,39230,Int32,5,Int64
10.2.0.18,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,2154013205,String,2149528485,String,79673,Int32,11657,Int32,67207,Int32,5,Int64
10.2.0.18,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,2061355664,String,2055927369,String,85649,Int32,41757,Int32,57691,Int32,5,Int64
10.2.0.18,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1800638209,String,1795775115,String,2396535,Int32,6074,Int32,183315,Int32,5,Int64
10.2.0.18,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,1934283394,String,1929862430,String,176804,Int32,76922,Int32,123892,Int32,5,Int64
10.2.0.18,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.15,String,2161448725,String,2156609297,String,79031,Int32,29097,Int32,51171,Int32,5,Int64
10.2.0.19,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,4326373839,String,4320065075,String,112769,Int32,37970,Int32,70828,Int32,5,Int64
10.2.0.19,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1656241689,String,1651464506,String,136350,Int32,31257,Int32,75843,Int32,5,Int64
10.2.0.19,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1682017891,String,1678039652,String,117352,Int32,24628,Int32,51604,Int32,5,Int64
