PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.116,01 28 2022 10 45 00,vegeta,String,http,String,357775623,Double,29814.63525,Double,30011.93197,Double,240.446088,Double,0.129716022,String,0.002916667,String,10.1.0.124,String,,,,,,,,,,,,
10.2.0.116,01 28 2022 10 50 00,vegeta,String,http,String,356088374.4,Double,29674.0312,Double,30019.18542,Double,244.511641,Double,0.174123604,String,0.003916667,String,10.1.0.124,String,,,,,,,,,,,,
10.2.0.116,01 28 2022 10 55 00,vegeta,String,http,String,357757969.3,Double,29813.16411,Double,30017.73346,Double,231.244894,Double,0.129657581,String,0.002916667,String,10.1.0.124,String,,,,,,,,,,,,
10.2.0.116,01 28 2022 11 00 00,vegeta,String,http,String,357276605,Double,29773.05041,Double,30014.01371,Double,240.830746,Double,0.151919264,String,0.003416667,String,10.1.0.124,String,,,,,,,,,,,,
10.2.0.117,01 28 2022 10 40 00,vegeta,String,http,String,356481953.9,Double,29706.82949,Double,30016.51535,Double,245.037912,Double,0.111153669,String,0.0025,String,10.1.0.122,String,,,,,,,,,,,,
10.2.0.117,01 28 2022 10 45 00,vegeta,String,http,String,357308478.8,Double,29775.70656,Double,30011.26562,Double,144.600033,Double,0.125953825,String,0.002833333,String,10.1.0.122,String,,,,,,,,,,,,
10.2.0.117,01 28 2022 10 50 00,vegeta,String,http,String,357116657.6,Double,29759.72147,Double,30016.57342,Double,241.154513,Double,0.111160457,String,0.0025,String,10.1.0.122,String,,,,,,,,,,,,
10.2.0.117,01 28 2022 10 55 00,vegeta,String,http,String,356878359.1,Double,29739.86325,Double,30011.72893,Double,148.963658,Double,0.114863208,String,0.002583333,String,10.1.0.122,String,,,,,,,,,,,,
10.2.0.117,01 28 2022 11 00 00,vegeta,String,http,String,357340643.6,Double,29778.38697,Double,30019.06337,Double,231.002619,Double,0.151896791,String,0.003416667,String,10.1.0.122,String,,,,,,,,,,,,
10.2.0.118,01 28 2022 10 40 00,vegeta,String,http,String,357836910.3,Double,29819.74252,Double,30011.39825,Double,150.156961,Double,0.140754273,String,0.003166667,String,10.1.0.127,String,,,,,,,,,,,,
10.2.0.118,01 28 2022 10 45 00,vegeta,String,http,String,358277466.8,Double,29856.45557,Double,30012.28591,Double,209.733054,Double,0.088915198,String,0.002,String,10.1.0.127,String,,,,,,,,,,,,
10.2.0.118,01 28 2022 10 50 00,vegeta,String,http,String,357358322.4,Double,29779.8602,Double,30019.14638,Double,239.065662,Double,0.125972494,String,0.002833333,String,10.1.0.127,String,,,,,,,,,,,,
10.2.0.118,01 28 2022 10 55 00,vegeta,String,http,String,357834043.5,Double,29819.50362,Double,30010.91461,Double,245.296126,Double,0.137082804,String,0.003083333,String,10.1.0.127,String,,,,,,,,,,,,
10.2.0.118,01 28 2022 11 00 00,vegeta,String,http,String,357255571.1,Double,29771.29759,Double,30012.79025,Double,268.863764,Double,0.125957325,String,0.002833333,String,10.1.0.127,String,,,,,,,,,,,,
10.2.0.119,01 28 2022 10 40 00,vegeta,String,http,String,357534701.3,Double,29794.55844,Double,30022.99207,Double,260.085311,Double,0.122240198,String,0.00275,String,10.1.0.129,String,,,,,,,,,,,,
10.2.0.119,01 28 2022 10 45 00,vegeta,String,http,String,357566493,Double,29797.20775,Double,30012.84704,Double,251.594672,Double,0.155578515,String,0.0035,String,10.1.0.129,String,,,,,,,,,,,,
